SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514167,GANESH ECOSP,B ,Q,285.95,289.00,281.10,289.00,289.00,286.05,30,1849,526576.00,
514171,CEETA IND.  ,XT,Q,5.37,5.37,5.37,5.37,5.37,5.65,2,1000,5370.00,
514175,VARDHMAN POL,B ,Q,12.17,12.29,11.56,12.09,12.29,11.65,15,2700,32625.00,
514183,BLA ROS IND ,X ,Q,45.00,47.90,45.00,46.90,46.55,47.95,45,5602,262438.00,
514197,ST CORP     ,XT,Q,12.40,12.40,12.40,12.40,12.40,12.95,1,46,570.00,
514211,SUMEET INDUS,B ,Q,4.13,4.16,4.01,4.10,4.10,3.97,75,48393,198155.00,
514215,BINNY LTD.  ,X ,Q,142.60,170.00,142.60,165.70,170.00,146.30,113,11645,1834716.00,
514221,KLIFESTYLE  ,X ,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,288,54.00,
514234,SANGAM INDIA,B ,Q,72.50,73.50,71.00,71.30,71.00,72.95,50,1218,87613.00,
514264,SEASONS TEXT,X ,Q,10.05,12.55,10.05,10.75,10.75,10.60,67,34305,388464.00,
514272,BHILWARA SP.,X ,Q,9.55,9.55,9.55,9.55,9.55,9.18,2,300,2865.00,
514286,ASHIMA LTD. ,B ,Q,14.46,14.46,14.16,14.27,14.38,14.27,6,252,3605.00,
514300,PIONEER EMB ,B ,Q,28.50,28.50,28.50,28.50,28.50,28.60,5,300,8550.00,
514302,VIPPY SPIN. ,X ,Q,40.80,41.15,40.80,41.15,41.15,40.80,5,190,7810.00,
514316,RAGHUVIR SYN,XT,Q,243.50,243.50,243.50,243.50,243.50,243.50,2,100,24350.00,
514322,KAMADGIRI   ,X ,Q,100.55,109.85,100.55,102.20,102.20,101.15,15,590,60105.00,
514326,PATSPIN INDI,B ,Q,12.10,12.10,11.85,11.85,11.85,12.10,25,7000,83942.00,
514330,OVERSEAS SYN,X ,Q,6.29,6.41,6.29,6.29,6.41,6.41,37,66030,415605.00,
514332,NEOINFRA    ,XT,Q,40.00,40.00,40.00,40.00,40.00,41.50,1,35,1400.00,
514394,AJIL        ,B ,Q,147.20,147.20,147.20,147.20,147.20,150.20,16,1344,197836.00,
514400,GARWARE SYN.,X ,Q,3.41,3.41,3.40,3.40,3.40,3.25,3,101,343.00,
514418,MANORG      ,X ,Q,470.35,486.95,470.35,477.10,478.00,482.35,183,7626,3646628.00,
514428,HINDU.ADHESI,X ,Q,85.05,87.95,85.05,87.95,87.95,88.50,4,900,76935.00,
514442,SRI KPR IND ,X ,Q,17.10,17.10,17.10,17.10,17.10,18.00,2,300,5130.00,
514448,JYOTI RESINS,X ,Q,80.00,80.00,79.00,80.00,80.00,77.75,5,80,6385.00,
514450,MAHA.RUBTECH,X ,Q,44.00,48.40,44.00,44.40,44.00,44.00,8,652,28967.00,
514454,SOUTH.LATEX ,XT,Q,5.67,5.67,5.67,5.67,5.67,5.40,2,250,1417.00,
514460,OSWAL YARNS ,XT,Q,8.62,9.05,8.62,9.02,9.02,8.62,3,55,494.00,
514474,FAIRDEAL FIL,X ,Q,116.50,123.95,116.50,120.00,120.00,118.00,15,2556,306166.00,
514484,THAMBI MOD. ,Z ,Q,7.00,7.00,7.00,7.00,7.00,7.35,2,189,1323.00,
514486,POLYGENTA TE,XT,Q,3.32,3.32,3.32,3.32,3.32,3.38,1,25,83.00,
515018,REG.CERAMIC ,T ,Q,2.84,2.84,2.74,2.74,2.74,2.71,3,110,301.00,
515030,ASAHI IN.GLA,A ,Q,260.40,261.80,255.65,258.15,258.05,253.50,112,5207,1347435.00,
515037,MURD.CERAM  ,B ,Q,24.05,25.00,24.05,24.25,24.20,24.65,71,5593,136885.00,
515043,SAINT-GOBAIN,X ,Q,54.05,56.95,54.05,55.80,55.80,54.75,454,75890,4240242.00,
515055,ANANTRAJ    ,B ,Q,35.95,36.95,35.60,36.05,36.05,35.95,377,76668,2781137.00,
515059,MADHUS.IND. ,X ,Q,15.95,15.95,14.55,14.55,14.55,15.20,2,60,943.00,
515085,RESTILE CER.,X ,Q,4.50,4.50,4.15,4.15,4.15,4.39,16,711,2984.00,
515093,MADHAV MARB.,B ,Q,46.20,46.25,45.55,46.10,45.55,46.15,6,588,27155.00,
515127,RAMASIGNS   ,X ,Q,17.35,17.35,17.35,17.35,17.35,17.20,1,20,347.00,
515145,HIND.NAT.GLS,B ,Q,84.80,84.80,77.10,81.85,82.95,80.00,18,1211,96743.00,
515147,HALDYN GLASS,X ,Q,31.80,33.35,31.80,32.60,32.60,32.65,92,32642,1058032.00,
516003,SARDA PLY.  ,X ,Q,97.00,97.00,89.05,93.70,94.00,91.50,29,584,54181.00,
516007,MANGALAM TIM,B ,Q,20.15,21.00,19.90,20.15,20.15,20.40,35,3993,81057.00,
516016,SHREYANS IND,B ,Q,151.15,152.00,149.00,149.05,149.25,150.85,33,1811,271459.00,
516022,STAR PAPER  ,B ,Q,160.00,162.00,158.50,160.40,161.00,161.45,62,2095,336766.00,
516030,YASH PAPERS ,X ,Q,56.00,56.95,55.25,56.75,56.25,56.30,60,13190,741988.00,
516064,ARROWGREEN  ,B ,Q,90.35,98.80,88.95,98.80,98.80,89.85,148,9260,889421.00,
516072,VISHNU CHEM ,B ,Q,165.00,168.75,164.45,164.45,164.45,160.05,16,177,29362.00,
516078,JUMBO BAG   ,Z ,Q,13.60,13.61,13.35,13.38,13.35,14.03,10,3165,42389.00,
516082,N.R.AGARWAL ,B ,Q,425.10,425.10,420.15,421.15,421.15,423.50,61,997,421121.00,
516086,SH.RAJES.PAP,XT,Q,7.87,7.87,7.87,7.87,7.87,8.02,2,300,2361.00,
516096,SANGAL PAPER,XT,Q,247.80,248.00,234.65,239.75,234.65,246.90,35,3277,794311.00,
516108,S.I.PAPER   ,XT,Q,92.00,92.00,90.90,90.90,90.90,89.10,8,523,48038.00,
517015,VINDHYA TELE,B ,Q,1979.50,1988.00,1925.95,1932.90,1930.10,1969.15,161,1162,2273654.00,
517035,RUTTONSHA IN,X ,Q,47.20,47.20,44.10,46.80,46.80,47.00,4,203,9532.00,
517041,ADORWELDING ,B ,Q,406.55,410.00,396.00,401.30,400.00,409.75,100,1526,616750.00,
517059,SALZER ELEC ,B ,Q,141.00,143.30,135.75,138.00,138.00,142.50,82,3067,426667.00,
517063,JETINFOTRAN ,X ,Q,42.05,46.00,36.50,41.75,41.75,40.75,19,822,33320.00,
517080,HIGHGROUND  ,B ,Q,8.87,8.96,8.79,8.88,8.88,8.87,15,4160,36986.00,
517146,USHA MART.LT,B ,Q,39.00,39.00,37.05,37.35,37.30,37.20,535,83835,3134742.00,
517166,SPEL SEMICON,X ,Q,9.45,9.45,8.42,9.00,9.00,8.93,22,2719,24362.00,
517168,SUBROS LTD. ,B ,Q,278.80,280.50,274.15,275.00,274.20,274.00,93,2386,660204.00,
517174,HONEYWELL   ,B ,Q,22999.95,22999.95,22746.25,22848.10,22858.10,22759.95,27,445,10155092.00,
517206,LUMAX IND   ,B ,Q,1724.00,1790.00,1724.00,1776.65,1790.00,1720.10,82,632,1104883.00,
517214,SPICEMOBI   ,B ,Q,11.74,12.25,11.00,11.84,11.84,11.70,19,3661,42786.00,
517236,CALCOM VISIO,X ,Q,29.00,29.50,28.95,29.00,29.00,28.10,18,1665,48775.00,
517238,DYNAVISION  ,XT,Q,60.90,60.90,58.50,58.50,58.50,58.00,2,410,24849.00,
517246,BCC FUBA    ,XT,Q,7.20,7.58,7.20,7.58,7.58,7.22,3,178,1322.00,
517258,PRECISION EL,XT,Q,36.70,38.00,36.60,38.00,38.00,36.70,13,6611,247622.00,
517271,HBL P SYS   ,B ,Q,29.75,30.40,29.55,29.80,29.55,29.85,322,49445,1479979.00,
517288,GUJARATPOLY ,X ,Q,43.45,43.45,40.20,41.95,42.65,41.45,58,11681,497895.00,
517300,GUJ.IND.POW.,B ,Q,78.15,79.85,78.00,78.55,78.45,78.25,92,7654,600464.00,
517330,CMI LTD.    ,B ,Q,128.50,132.40,127.90,130.10,130.90,129.00,116,3875,502706.00,
517334,MOTHERSON SS,A ,Q,171.50,173.80,168.90,170.35,170.35,172.00,1307,139205,23786749.00,
517344,MINDTECK (I),T ,Q,39.40,39.40,36.65,37.95,37.95,37.60,12,205,7708.00,
517354,HAVELLSINDIA,A ,Q,698.50,707.85,697.60,704.75,704.40,703.85,684,26585,18690115.00,
517356,ACI INFOCOM ,X ,Q,0.57,0.59,0.57,0.59,0.59,0.60,8,5000,2920.00,
517370,INCAP LTD.  ,XT,Q,40.00,40.00,39.10,39.10,39.10,41.10,4,500,19950.00,
517372,GUJ.INTRUX  ,X ,Q,98.05,98.25,98.05,98.25,98.25,104.50,3,22,2158.00,
517380,IGARSHI MOT ,B ,Q,569.25,569.25,562.00,564.55,564.00,568.50,34,301,170535.00,
517385,SYMPHONY    ,A ,Q,1235.00,1235.00,1192.80,1218.35,1218.35,1217.00,289,2369,2891676.00,
517415,LEE&NEE SOFT,XT,Q,1.19,1.19,1.16,1.19,1.19,1.14,8,4515,5372.00,
517417,PATEL AIRTEM,X ,Q,120.90,125.00,120.85,123.50,123.50,124.00,6,650,79964.00,
517421,BFLYGANDHI  ,B ,Q,233.00,240.00,232.10,234.40,234.00,229.00,102,2272,534921.00,
517429,ATHENAGLO   ,XT,Q,28.80,31.40,28.80,31.40,31.40,29.95,21,3500,106225.00,
517437,DUTRON POLY.,XT,Q,120.75,133.40,120.75,133.40,133.40,127.05,12,965,128299.00,
517447,R.S.SOFTWARE,B ,Q,34.35,34.35,32.00,33.50,33.35,34.45,112,5671,190663.00,
517449,MAGNA ELECTR,X ,Q,199.45,199.45,187.00,190.45,187.10,194.85,48,2749,522886.00,
517467,MARSONS     ,XT,Q,1.39,1.39,1.30,1.39,1.39,1.33,5,560,755.00,
517477,ELNET TECH. ,X ,Q,107.75,107.75,107.75,107.75,107.75,108.05,2,125,13468.00,
517494,ACCEL       ,X ,Q,5.52,5.52,5.41,5.41,5.41,5.52,10,4634,25183.00,
517498,WEBELSOLAR  ,B ,Q,27.80,28.65,27.80,28.60,28.65,27.30,80,4220,118808.00,
517500,ROTO PUMPS  ,X ,Q,107.90,110.00,105.00,105.55,106.00,104.50,408,26859,2882616.00,
517506,TTK PRESTIGE,A ,Q,7570.90,7578.25,7461.95,7477.60,7480.05,7563.35,55,128,963557.00,
517514,DHINDIA     ,X ,Q,16.20,17.55,14.70,15.35,15.35,16.25,5,178,3007.00,
517518,LEEL        ,B ,Q,57.70,59.20,57.55,57.95,58.15,58.00,227,18873,1097657.00,
517522,RAJ GLO WIR ,X ,Q,799.00,799.00,760.00,767.35,763.00,796.50,49,568,437526.00,
517536,ONWARD TECHN,B ,Q,60.00,60.20,59.60,60.00,60.00,60.00,15,2220,133062.00,
517544,CENTUM ELEC ,B ,Q,325.00,362.90,320.55,340.45,340.00,356.45,48,422,143557.00,
517548,STARLITE COM,X ,Q,21.00,21.65,20.50,20.60,20.60,21.00,108,14524,305217.00,
517554,NHCFOODS    ,X ,Q,5.35,5.35,5.10,5.10,5.10,5.36,8,4021,20516.00,
517556,PVP VENT LTD,T ,Q,4.01,4.20,4.00,4.01,4.00,4.10,59,50342,203190.00,
517562,TRIGYN TECH ,B ,Q,88.75,92.50,88.45,89.40,88.45,89.65,105,6252,564363.00,
517569,KEI INDUST. ,A ,Q,385.95,388.50,372.00,377.35,375.50,384.90,826,25303,9540987.00,
518011,KEERTHI     ,XT,Q,70.00,70.00,70.00,70.00,70.00,70.70,2,100,7000.00,
518029,GUJ.SIDH.CEM,B ,Q,26.30,26.30,25.35,25.55,25.80,25.85,62,10364,267171.00,
518091,ANJANI PORTL,B ,Q,134.50,143.95,134.50,134.80,134.80,135.65,51,717,99076.00,
519003,MODINATURAL ,X ,Q,74.90,74.90,74.90,74.90,74.90,75.00,1,200,14980.00,
519091,TASTY BITE  ,B ,Q,9070.00,9219.00,8988.05,9067.15,9048.50,9278.00,24,30,272924.00,
519105,AVT NATURAL ,B ,Q,27.35,27.40,27.10,27.40,27.40,27.20,13,1550,42326.00,
519126,HIND.FOODS  ,X ,Q,333.60,365.00,322.00,356.55,356.55,322.05,889,19165,6588554.00,
519136,NAHAR INDUST,B ,Q,55.25,55.45,53.05,54.15,54.95,55.20,110,6937,378957.00,
519152,VADILAL ENT ,XT,Q,850.00,892.00,850.00,880.45,892.00,850.00,5,69,60750.00,
519156,VADILAL IND ,B ,Q,550.00,553.65,535.30,541.05,541.40,548.85,157,1094,595539.00,
519183,ADF FOODS LT,B ,Q,275.00,275.00,265.50,266.10,266.10,276.55,88,1020,273446.00,
519216,AJANTA SOYA ,X ,Q,24.00,24.00,21.05,22.00,22.00,21.80,8,113,2572.00,
519248,JVL AGRO    ,Z ,Q,6.00,6.00,5.60,5.95,5.95,5.75,21,6126,36310.00,
519260,SANWARIA    ,B ,Q,10.15,10.50,10.07,10.44,10.44,10.32,352,160511,1649830.00,
519285,TARAI FOODS ,XT,Q,1.64,1.64,1.64,1.64,1.64,1.72,1,200,328.00,
519287,MODERN DAIRI,XT,Q,4.60,4.83,4.60,4.79,4.83,4.60,4,180,839.00,
519295,BAMBINO AGRO,X ,Q,185.00,186.00,185.00,185.00,185.00,187.00,8,268,49608.00,
519307,VIKAS WSP   ,X ,Q,10.60,10.60,10.15,10.27,10.30,10.47,205,218837,2259037.00,
519359,POONA DAL   ,X ,Q,33.05,33.05,31.05,31.10,31.10,30.65,5,157,4886.00,
519367,TRANSGL.FOOD,X ,Q,4.46,4.46,4.46,4.46,4.46,4.69,1,5,22.00,
519383,ANIK INDS   ,B ,Q,23.00,23.65,23.00,23.60,23.65,23.50,14,1261,29039.00,
519413,DATIWARE    ,P ,Q,12.50,12.50,12.50,12.50,12.50,2.00,1,100,1250.00,
519421,KSE LIMITED ,XT,Q,1890.00,1919.90,1851.55,1890.00,1890.00,1886.20,52,332,627061.00,
519455,NARBADA     ,X ,Q,23.85,26.35,23.85,26.35,26.35,25.10,9,1220,30844.00,
519457,VIRAT CRANE ,X ,Q,33.25,33.70,33.25,33.70,33.70,33.30,3,426,14315.00,
519475,CHORDIA FOOD,X ,Q,118.00,138.00,115.05,131.05,131.05,129.60,18,1012,131224.00,
519491,OCEAN AGRO  ,X ,Q,31.60,31.60,27.85,28.35,28.35,29.30,13,4424,133108.00,
519532,ASIAN TEA   ,XT,Q,10.40,10.40,10.40,10.40,10.40,10.90,2,84,873.00,
519552,HERITGFOOD  ,B ,Q,525.90,527.35,520.00,526.05,526.95,517.05,92,1476,773918.00,
519560,NEHA INTER. ,XT,Q,4.69,4.69,4.64,4.69,4.69,4.47,27,28875,135351.00,
519566,SIMRAN FARMS,X ,Q,44.00,46.75,44.00,46.75,46.75,45.95,21,2180,99228.00,
519588,DFM FOODS   ,B ,Q,217.45,217.50,211.10,214.55,217.50,208.55,12,136,29229.00,
519600,CCL PRODUCTS,A ,Q,272.40,273.20,271.50,272.30,272.10,273.90,33,739,201171.00,
519602,KELLTONTEC  ,B ,Q,30.45,31.90,30.45,31.00,31.00,30.45,63,6345,197605.00,
520008,RICO AUTO   ,B ,Q,73.95,74.85,72.95,73.75,73.75,74.25,544,55332,4094261.00,
520021,OMAX AUTOS. ,B ,Q,85.00,88.10,85.00,87.60,87.60,85.55,18,1068,92804.00,
520043,MUNJAL SHOWA,B ,Q,184.20,185.90,183.00,185.15,185.00,186.15,38,2059,379793.00,
520051,JAMNA AUTO  ,B ,Q,62.60,68.00,62.00,66.35,66.35,62.95,2428,388539,25890536.00,
520056,SUNDAR.CLAY ,A ,Q,3500.00,3518.05,3481.05,3481.05,3481.05,3501.45,16,123,430735.00,
520057,JTEKTINDIA  ,B ,Q,107.00,107.50,105.25,106.15,106.15,106.75,116,32011,3422263.00,
520059,MUNAUTO     ,B ,Q,63.40,65.50,63.35,63.70,64.20,61.90,627,37343,2400714.00,
520066,JAYBH.MARUTI,B ,Q,319.90,320.45,310.00,313.25,311.00,313.05,161,3278,1035732.00,
520073,RACLGEAR    ,X ,Q,60.00,61.00,58.90,60.40,60.60,58.70,49,6940,419687.00,
520075,SAMKRG PIST.,X ,Q,201.95,201.95,196.40,199.00,199.00,200.10,23,606,120152.00,
520086,SICAL LOG   ,B ,Q,156.60,162.20,156.60,160.25,159.35,156.25,83,3049,488331.00,
520111,RATNAMNI MET,B ,Q,914.00,920.00,914.00,916.20,915.00,919.25,18,76,69650.00,
520119,AUTOMOTIVE S,B ,Q,63.70,65.75,63.00,64.80,64.80,65.60,15,1409,90069.00,
520123,ABC INDIA   ,X ,Q,58.00,58.00,55.50,58.00,58.00,55.50,10,566,32725.00,
520127,BALURGHAT TE,X ,Q,4.10,4.10,4.10,4.10,4.10,4.10,1,10,41.00,
520139,JAGSON AIRLI,XT,Q,1.00,1.00,1.00,1.00,1.00,1.02,1,200,200.00,
520141,SIBAR AUTO  ,X ,Q,38.00,38.00,38.00,38.00,38.00,36.30,1,10,380.00,
520151,SHREY SH LOG,B ,Q,200.50,210.00,194.30,201.90,203.50,206.50,305,4570,931762.00,
520155,STARLOG     ,X ,Q,18.55,18.55,18.25,18.25,18.25,18.55,3,7,128.00,
521016,INDO COUNT  ,A ,Q,57.60,57.70,57.10,57.45,57.45,57.05,145,13816,793980.00,
521018,MARAL OVERS ,B ,Q,28.35,29.20,28.35,28.95,28.95,28.15,8,241,6974.00,
521034,SOMA TEXTILE,B ,Q,5.98,6.19,5.65,6.19,6.19,5.63,53,22339,136777.00,
521064,TRIDENT     ,A ,Q,65.65,67.00,65.65,66.05,66.05,66.45,288,37259,2470526.00,
521070,ALOK INDS.  ,T ,Q,3.69,3.75,3.60,3.72,3.72,3.62,139,209137,767775.00,
521080,PASARI SPIN ,XT,Q,4.29,4.29,4.29,4.29,4.29,4.29,2,16,68.00,
521082,SPENTEX INDS,T ,Q,2.10,2.26,2.10,2.26,2.26,2.17,4,101,218.00,
521097,AMARJOTHI SP,X ,Q,101.10,105.00,101.10,102.90,102.90,104.30,66,3308,341383.00,
521105,OLYMPIA IND.,X ,Q,30.65,30.65,30.65,30.65,30.65,29.20,1,35,1072.00,
521109,NAGREEKA EXP,B ,Q,24.95,25.00,24.00,24.00,24.10,23.30,7,602,14744.00,
521113,SUDITI IND. ,X ,Q,38.45,38.75,35.50,35.90,35.50,38.45,31,6850,248404.00,
521127,KHATOR FIBRE,XT,Q,13.25,13.25,12.75,13.25,13.25,13.25,5,1354,17894.00,
521141,ADITYA SPIN.,XT,Q,7.30,7.80,7.30,7.80,7.80,7.49,6,1280,9744.00,
521163,ZODIAC CLOTH,B ,Q,145.95,145.95,145.95,145.95,145.95,147.00,1,1,145.00,
521167,FRONT BUSS  ,X ,Q,5.20,5.20,5.20,5.20,5.20,4.73,7,2282,11866.00,
521176,GANGOTRI TEX,Z ,Q,2.88,2.88,2.76,2.86,2.87,2.75,67,19276,54985.00,
521180,SUPER SPIN. ,B ,Q,7.81,8.10,7.81,7.81,7.81,8.22,38,16187,126470.00,
521182,SEASONS FUR.,XT,Q,3.76,3.76,3.76,3.76,3.76,3.95,3,1236,4647.00,
521200,SURYLAK.COTT,B ,Q,46.80,47.45,41.60,42.00,43.00,43.50,33,2320,98553.00,
521206,SAMTEX FASH.,XT,Q,1.62,1.62,1.55,1.59,1.60,1.62,11,3367,5292.00,
521216,DHAN ROTO SP,XT,Q,32.40,34.55,31.35,31.35,31.35,32.95,8,556,18503.00,
521220,DAMOINDUS   ,B ,Q,48.85,48.85,45.30,45.40,45.30,46.00,8,434,19969.00,
521226,UNI ROYAL IN,X ,Q,10.30,10.30,10.30,10.30,10.30,10.81,1,500,5150.00,
521228,TATIA GLOB  ,X ,Q,0.30,0.30,0.30,0.30,0.30,0.30,2,901,270.00,
521234,SRI NACHAMAI,X ,Q,16.35,16.35,16.30,16.30,16.30,16.00,2,50,816.00,
521238,KDL         ,X ,Q,18.00,18.00,18.00,18.00,18.00,17.15,1,10,180.00,
521240,SAMBANDAM SP,X ,Q,120.00,122.00,117.55,120.85,117.55,122.90,6,509,61423.00,
521242,KANDAGIRI SP,X ,Q,18.90,18.90,18.90,18.90,18.90,18.90,1,20,378.00,
521248,KITEX GARMEN,B ,Q,111.00,114.00,110.90,111.35,112.50,111.20,107,5578,624113.00,
522001,CRANEX LTD. ,X ,Q,16.22,16.22,16.22,16.22,16.22,15.45,3,35,567.00,
522004,BATLIBOI LTD,X ,Q,16.70,16.90,16.60,16.70,16.70,16.45,20,4542,75885.00,
522005,AUSTIN ENGG.,X ,Q,69.55,69.55,69.50,69.55,69.50,71.75,2,176,12238.00,
522014,UNITED DRILL,X ,Q,114.55,118.00,114.55,115.15,115.15,113.95,3,104,12043.00,
522017,FLUIDOMAT   ,X ,Q,132.00,135.00,128.50,133.75,134.85,136.15,26,923,122579.00,
522029,WINDSOR MACH,B ,Q,67.45,69.00,66.00,66.75,67.35,67.50,378,71233,4800626.00,
522034,SHANTHI GEAR,B ,Q,130.25,130.50,129.15,129.30,129.15,131.30,25,2317,301049.00,
522064,HONDA SIEL  ,B ,Q,1068.55,1070.00,1056.00,1066.75,1067.05,1066.35,17,129,137509.00,
522073,HITECHGEAR  ,B ,Q,335.00,344.90,335.00,336.10,336.10,344.30,60,3533,1198899.00,
522074,ELGI EQUIP  ,A ,Q,262.70,267.90,262.00,265.20,267.50,265.45,136,2100,554572.00,
522091,UV DER HORST,XT,Q,44.00,45.75,44.00,45.70,45.75,43.60,5,610,27397.00,
522101,KILBURN ENGG,X ,Q,54.00,55.50,51.00,55.00,55.00,53.55,107,12238,645509.00,
522105,BIRLA PRETEC,X ,Q,17.40,17.50,17.00,17.25,17.30,17.20,230,50153,860453.00,
522108,YUKEN INDIA ,B ,Q,629.10,643.00,591.20,621.70,621.70,629.10,472,10327,6416382.00,
522113,TIMKEN (I)  ,B ,Q,575.05,589.60,575.00,585.20,588.00,581.00,114,1399,816024.00,
522122,VOITH PAPER ,XT,Q,783.50,785.10,782.00,782.00,782.00,782.00,9,107,83880.00,
522134,ARTSON ENG  ,X ,Q,51.30,51.30,41.70,49.80,49.50,50.00,69,39932,1983147.00,
522152,SOLITAIR MC ,X ,Q,54.20,54.20,48.60,49.15,49.00,51.30,36,2084,105745.00,
522163,DIAMONPOWER ,Z ,Q,1.60,1.60,1.53,1.53,1.53,1.61,12,6329,9689.00,
522165,INDSIL HYD  ,X ,Q,82.95,82.95,82.00,82.95,82.95,79.90,6,360,29720.00,
522183,ITL INDUSTRS,X ,Q,183.05,187.80,180.00,180.05,180.00,181.05,46,1432,261630.00,
522195,FRONTIER SPR,X ,Q,152.30,168.90,152.30,167.40,168.90,164.85,25,802,133047.00,
522205,PRAJ IND.LTD,B ,Q,112.00,114.35,111.05,111.80,111.80,114.65,1253,166287,18641135.00,
522207,RASANDIK ENG,X ,Q,134.35,144.00,134.35,144.00,144.00,147.00,11,660,93878.00,
522209,YOGI SUNGWON,X ,Q,1.42,1.42,1.42,1.42,1.42,1.48,1,1,1.00,
522215,SWISS GLASS ,X ,Q,185.00,193.00,178.05,186.40,188.00,185.05,67,3532,668029.00,
522217,GUJ APOIND  ,B ,Q,172.00,176.50,169.50,173.50,171.60,172.20,29,327,56892.00,
522229,TANEJA AERO.,X ,Q,33.00,33.00,31.15,32.30,32.30,32.20,43,3628,115146.00,
522231,CONART ENG. ,X ,Q,24.95,25.15,24.75,25.00,25.00,25.40,13,3200,79907.00,
522241,M.M.FORGINGS,B ,Q,645.00,660.00,642.15,653.95,650.00,657.95,92,1178,772671.00,
522245,IYKOT HITEC ,Z ,Q,6.60,6.60,6.60,6.60,6.60,6.60,1,75,495.00,
522249,MAYUR UNIQ. ,B ,Q,392.00,402.05,392.00,399.65,400.00,392.25,30,188,74764.00,
522251,CENLUB INDUS,X ,Q,83.00,83.00,79.70,82.15,82.35,81.55,57,3597,295478.00,
522257,RAJOO ENGIN.,X ,Q,30.45,30.90,29.90,30.00,30.00,30.45,236,111139,3349354.00,
522261,DOLPHIN OFF.,B ,Q,51.45,55.50,51.25,54.40,54.15,52.50,380,26045,1412222.00,
522263,JMC PROJECTS,B ,Q,83.20,83.70,80.00,81.90,81.95,83.10,262,9799,800807.00,
522267,VEEJAY LAKSH,X ,Q,44.00,45.00,44.00,45.00,45.00,44.10,4,1150,51250.00,
522275,GET&D       ,A ,Q,261.25,265.20,259.85,262.80,262.80,262.20,138,2783,728392.00,
522281,RAM RAT.WIRE,X ,Q,133.80,133.80,130.00,130.70,130.70,131.25,51,3012,393822.00,
522285,JAY NECO IND,T ,Q,6.12,6.12,5.55,6.05,6.11,5.83,57,48409,282935.00,
522287,KALPA.POWER ,A ,Q,383.00,388.60,378.05,382.90,382.90,382.30,267,12405,4734367.00,
522292,CHANDNI TE  ,XT,Q,36.60,39.50,36.60,38.05,39.50,38.50,8,2330,88602.00,
522294,T & I GLOBAL,X ,Q,92.20,94.90,92.10,93.00,92.85,94.00,53,4078,378124.00,
522295,CONTROL PRNT,B ,Q,308.00,308.00,302.05,304.45,307.00,300.15,8,166,50757.00,
523007,ANSAL BUILD.,X ,Q,58.00,61.45,54.25,57.95,57.95,51.35,254,18671,1094124.00,
523011,WEIZMANN LTD,B ,Q,45.15,45.15,40.55,41.10,41.10,41.05,18,249,10219.00,
523019,B.N.RATHI SE,X ,Q,28.00,28.00,25.25,25.25,25.25,26.40,2,209,5827.00,
523021,RISHITECH   ,X ,Q,46.80,47.15,46.70,46.70,46.70,47.15,10,425,19925.00,
523023,SINCLAIR HOT,X ,Q,343.85,343.90,335.00,337.05,335.00,341.65,22,1201,407226.00,
523025,SAFARI IND. ,B ,Q,783.30,827.00,783.00,812.55,820.00,794.05,382,6431,5197762.00,
523100,COSMO FERR. ,XT,Q,18.55,18.65,18.55,18.55,18.55,19.50,9,2256,41903.00,
523116,SANCO TRANS ,X ,Q,227.60,227.60,227.60,227.60,227.60,227.50,1,2,455.00,
523127,EIH ASSO.HOT,B ,Q,446.00,450.00,421.00,425.15,425.15,435.60,135,3657,1588666.00,
523133,BONANZA IND.,XT,Q,17.00,17.00,17.00,17.00,17.00,17.00,1,1,17.00,
523144,MEDI CAPS   ,X ,Q,15.09,15.09,13.72,15.08,15.08,14.35,12,2105,31668.00,
523160,MORGAN CRU  ,X ,Q,1610.00,1636.35,1567.20,1627.30,1632.00,1558.45,99,1651,2663236.00,
523204,ABAN OFFSHO ,B ,Q,73.05,77.35,73.05,76.10,76.10,73.95,1983,297343,22328585.00,
523207,KOKUYOCMLN  ,B ,Q,111.55,111.55,109.00,110.45,110.40,112.75,35,888,98000.00,
523229,BHARAT SEATS,X ,Q,100.00,116.80,100.00,109.20,109.80,101.45,453,34196,3746794.00,
523232,CONT.PETRO  ,XT,Q,32.00,32.10,32.00,32.00,32.00,33.10,5,489,15668.00,
523248,MACHINO PLAS,X ,Q,140.25,145.00,140.25,145.00,145.00,141.30,6,108,15602.00,
523261,VENKEY'S (I),A ,Q,2470.00,2509.95,2439.55,2467.70,2467.70,2478.65,1039,7862,19480930.00,
523269,ADVANI HOTEL,B ,Q,63.10,64.90,62.50,63.90,64.90,63.60,24,1177,74773.00,
523277,G.V.FILMS   ,X ,Q,0.62,0.62,0.57,0.59,0.59,0.59,50,183973,106063.00,
523283,SUPER HOUSE ,B ,Q,141.90,158.00,138.10,151.25,151.25,140.10,839,40636,6163620.00,
523289,RAMA VISION ,X ,Q,8.41,8.41,8.41,8.41,8.41,8.01,3,550,4625.00,
523301,TCPL PACK   ,B ,Q,490.00,490.00,451.00,455.80,453.00,489.05,52,385,177724.00,
523319,BALMER LAWRI,B ,Q,200.80,206.05,200.80,203.50,203.50,199.45,345,11509,2343377.00,
