SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
504240,DELTON CABLE,X ,Q,15.35,15.40,15.35,15.40,15.40,16.10,4,135,2072.00,
504258,LAKSHMI ELEC,X ,Q,585.00,585.00,563.35,566.75,565.05,577.95,52,6643,3819970.00,
504273,MODULEX     ,P ,Q,27.50,27.50,27.50,27.50,27.50,28.90,1,50,1375.00,
504341,RELTD       ,XT,Q,42.90,46.50,42.90,42.90,42.90,45.00,4,837,36447.00,
504351,EMPOWER     ,X ,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,5300,1007.00,
504378,NYSSACORP   ,X ,Q,1.18,1.18,1.18,1.18,1.18,1.24,4,3500,4130.00,
504392,KRISHNA VEN ,XT,Q,4.57,4.57,4.57,4.57,4.57,4.66,3,167,763.00,
504605,UNI ABEX    ,X ,Q,508.50,508.50,484.20,484.20,484.20,484.30,4,20,9806.00,
504614,SARDA ENMIN ,B ,Q,277.70,277.70,262.10,264.30,264.30,267.30,191,7455,1991304.00,
504646,BHAGWATI AUT,X ,Q,121.95,122.05,121.75,122.05,122.00,123.05,6,400,48760.00,
504697,GALADA TELE.,X ,Q,2.90,2.90,2.90,2.90,2.90,3.00,1,800,2320.00,
504713,HIND.WIR LTD,X ,Q,53.75,53.75,48.65,48.70,48.65,51.20,41,1753,88986.00,
504731,I BRIGHT ST ,XT,Q,18.60,18.60,18.60,18.60,18.60,18.50,1,10,186.00,
504741,IND.HUME PIP,B ,Q,323.00,345.00,322.00,340.80,339.05,324.00,751,28750,9736618.00,
504786,INVEST &PREC,X ,Q,302.05,305.00,300.25,302.15,302.15,304.85,23,1558,469069.00,
504879,ORIENT ABRAS,B ,Q,29.65,30.90,29.55,30.70,30.75,30.40,81,8597,260900.00,
504908,DUNCANENG   ,X ,Q,78.00,78.00,77.00,78.00,78.00,80.10,8,894,69281.00,
504918,SANDUR MANG.,X ,Q,1069.90,1069.90,1036.05,1039.55,1043.10,1046.45,60,1004,1048988.00,
504959,STOVAC IND. ,X ,Q,2555.95,2555.95,2502.00,2507.85,2507.85,2539.75,38,262,657572.00,
504961,TATA YODOGAW,X ,Q,49.30,49.30,46.00,46.90,46.40,48.90,44,2573,122448.00,
504966,TINPLATE    ,B ,Q,155.00,160.70,153.50,157.15,157.15,156.90,2489,182344,28695994.00,
504973,TIFHL       ,A ,Q,518.40,522.90,497.00,504.70,504.70,523.55,93,1624,818981.00,
504988,WELCAST     ,X ,Q,699.90,710.00,699.90,710.00,710.00,710.50,3,11,7709.00,
505010,AUTO AXLES  ,B ,Q,1371.15,1388.75,1363.50,1366.50,1363.50,1372.50,70,443,607079.00,
505029,ATLAS CYCLES,T ,Q,80.00,81.95,80.00,81.00,81.00,80.50,14,968,77788.00,
505036,AUTO COR.GOA,X ,Q,686.00,698.85,686.00,697.40,698.85,685.00,26,455,314508.00,
505075,SETCO AUTO  ,B ,Q,36.45,37.65,36.10,37.20,37.20,35.80,912,143795,5340786.00,
505141,SCOOTERS IND,T ,Q,38.75,41.20,38.50,38.50,38.50,39.25,31,5615,227059.00,
505160,TALBROS AUTO,B ,Q,229.00,230.00,225.50,225.50,225.50,230.10,20,848,193661.00,
505163,ZF STEERING ,X ,Q,843.85,857.95,826.05,851.60,854.00,843.85,70,1415,1200187.00,
505192,SMLISUZU    ,B ,Q,684.60,685.10,671.05,673.95,676.00,679.15,77,846,573133.00,
505196,TIL LTD.    ,B ,Q,285.90,287.00,276.20,279.95,277.00,286.85,46,669,188603.00,
505200,EICHER MOTOR,A ,Q,23838.00,24234.00,23719.40,24151.35,24200.00,23961.85,1090,2796,67123462.00,
505216,ALFRED HERB ,X ,Q,687.70,687.70,685.00,686.50,685.00,720.00,5,60,41188.00,
505230,CIMMCO      ,B ,Q,46.95,47.80,45.75,46.35,46.20,45.90,71,5046,235399.00,
505232,VELJAN      ,X ,Q,825.35,825.35,801.05,804.35,801.05,824.40,4,20,16192.00,
505242,DYNAMAT.TECH,B ,Q,1598.80,1598.85,1589.95,1589.95,1589.95,1589.80,3,21,33566.00,
505250,G.G.DANDEKAR,X ,Q,59.80,61.45,58.50,60.95,58.70,60.25,19,195,11855.00,
505255,GMM PFAUDLER,B ,Q,1225.00,1225.00,1182.10,1189.65,1189.65,1200.00,61,589,700816.00,
505283,KIRLOSAR PN ,B ,Q,171.00,176.00,165.10,174.10,174.10,171.60,225,10982,1881681.00,
505299,KULK-POWER  ,X ,Q,66.75,67.30,66.20,66.20,66.20,68.00,3,344,23085.00,
505302,LAXMI AUTOLM,XT,Q,54.70,54.70,54.70,54.70,54.70,52.25,1,3,164.00,
505324,MANUGRAPH IN,B ,Q,32.00,32.00,30.60,30.85,30.85,32.55,12,1181,36715.00,
505343,MONOTYPE IND,XT,Q,0.32,0.32,0.30,0.30,0.30,0.31,3,650,197.00,
505355,NESCO LTD   ,B ,Q,447.90,458.00,445.00,453.85,451.05,445.80,185,10953,4933466.00,
505358,INTEGRA ENG ,X ,Q,56.40,59.65,56.40,59.25,59.25,58.25,18,25821,1529658.00,
505368,REVATHI EQU.,B ,Q,399.90,412.90,390.20,396.50,396.50,400.00,5,513,205620.00,
505400,TEXINFRA    ,B ,Q,56.60,58.80,56.50,58.15,58.15,58.10,139,11450,656532.00,
505412,WENDT(INDIA),B ,Q,3245.00,3245.00,3245.00,3245.00,3245.00,3267.25,1,93,301785.00,
505502,PSITINFRA   ,X ,Q,50.85,50.85,48.95,48.95,48.95,49.90,2,4239,207504.00,
505509,RESPON IND  ,B ,Q,93.00,93.00,85.20,86.70,86.70,90.60,131,6769,601993.00,
505526,DOLAT INV.  ,X ,Q,57.40,58.80,56.60,58.80,58.80,56.00,436,406003,23767354.00,
